County,Year,Income,Population
Montezuma County,2011,41817,
Gilpin County,2011,60537,
Logan County,2011,43823,
Elbert County,2011,78029,
Boulder County,2011,68101,
Jefferson County,2011,64412,
Mesa County,2011,47778,
Ouray County,2011,57922,
Delta County,2011,41442,
Phillips County,2011,43826,
San Juan County,2011,36547,
Hinsdale County,2011,49024,
Sedgwick County,2011,37511,
Fremont County,2011,41493,
Mineral County,2011,46956,
Baca County,2011,34168,
Broomfield County,2011,79051,
Moffat County,2011,52257,
Las Animas County,2011,40191,
Rio Grande County,2011,37472,
Chaffee County,2011,44156,
Weld County,2011,51773,
Morgan County,2011,41246,
Garfield County,2011,57617,
Conejos County,2011,32588,
Prowers County,2011,36563,
Pueblo County,2011,40764,
Washington County,2011,43433,
Huerfano County,2011,30655,
Clear Creek County,2011,65420,
Arapahoe County,2011,57042,
Costilla County,2011,26125,
Gunnison County,2011,43069,
Custer County,2011,45791,
Alamosa County,2011,36870,
Pueblo County,2012,41209,
Phillips County,2012,46216,
Lincoln County,2012,38098,
Morgan County,2012,44577,
Las Animas County,2012,38713,
Clear Creek County,2012,65359,
Archuleta County,2012,46127,
Montezuma County,2012,40351,
El Paso County,2012,55312,
Moffat County,2012,57023,
Pitkin County,2012,67057,
Garfield County,2012,54088,
Mesa County,2012,46940,
Yuma County,2012,45059,
Gunnison County,2012,49861,
Sedgwick County,2012,37633,
Bent County,2012,33540,
Crowley County,2012,30460,
Huerfano County,2012,31574,
Elbert County,2012,81528,
Washington County,2012,43446,
Douglas County,2012,98426,
Adams County,2012,55695,
Routt County,2012,62271,
Costilla County,2012,26075,
Custer County,2012,46744,
Broomfield County,2012,81040,
Weld County,2012,55332,
Cheyenne County,2012,51093,
Park County,2012,60731,
Prowers County,2012,36580,
Grand County,2012,56191,
Alamosa County,2012,37731,
Gilpin County,2012,61447,
Baca County,2012,37775,
Conejos County,2012,31970,
Kiowa County,2012,40216,
Dolores County,2012,39254,
Eagle County,2012,69870,
Lake County,2012,45504,
Rio Blanco County,2012,57922,
Denver County,2012,50455,
Larimer County,2012,56132,
Rio Grande County,2012,37837,
Delta County,2012,41208,
Summit County,2012,61286,
Montrose County,2012,45226,
Arapahoe County,2012,60525,
Chaffee County,2012,44651,
Kit Carson County,2012,44059,
Otero County,2012,35026,
La Plata County,2012,55888,
Jefferson County,2012,67401,
Jackson County,2012,43190,
Saguache County,2012,30197,
Fremont County,2012,40809,
Boulder County,2012,66894,
Teller County,2012,59558,
Hinsdale County,2012,50177,
Ouray County,2012,61657,
Mineral County,2012,47169,
San Juan County,2012,35734,
Logan County,2012,42740,
San Miguel County,2012,53477,
Custer County,2013,47268,
Crowley County,2013,31477,
Boulder County,2013,71405,
Rio Blanco County,2013,59364,
Bent County,2013,34440,
Denver County,2013,51156,
Washington County,2013,45572,
Adams County,2013,54876,
Jackson County,2013,43549,
Larimer County,2013,59337,
Cheyenne County,2013,50379,
Teller County,2013,62725,
Delta County,2013,41730,
Yuma County,2013,45487,
Hinsdale County,2013,52188,
Las Animas County,2013,38547,
Kit Carson County,2013,39633,
El Paso County,2013,57072,
Douglas County,2013,105192,
Mesa County,2013,48108,
Routt County,2013,63763,
Montrose County,2013,43946,
San Miguel County,2013,53674,
Logan County,2013,43561,
Otero County,2013,36811,
Jefferson County,2013,68161,
Elbert County,2013,80972,
Dolores County,2013,42416,
Weld County,2013,58404,
Lincoln County,2013,41510,
Pueblo County,2013,41352,
Sedgwick County,2013,39980,
Clear Creek County,2013,63489,
Saguache County,2013,35310,
Archuleta County,2013,44417,
Lake County,2013,47547,
Eagle County,2013,78517,
Alamosa County,2013,37484,
Garfield County,2013,57364,
Grand County,2013,57312,
Moffat County,2013,58890,
Costilla County,2013,28233,
Rio Grande County,2013,39834,
Arapahoe County,2013,61092,
Chaffee County,2013,48012,
Montezuma County,2013,43655,
Gunnison County,2013,48391,
Summit County,2013,63236,
Park County,2013,57510,
Gilpin County,2013,64962,
Fremont County,2013,41412,
Broomfield County,2013,79117,
Prowers County,2013,38830,
Baca County,2013,35787,
Morgan County,2013,46332,
Conejos County,2013,34923,
Huerfano County,2013,32418,
La Plata County,2013,58675,
Phillips County,2013,46805,
Ouray County,2013,58137,
Mineral County,2013,50286,
Kiowa County,2013,42378,
San Juan County,2013,41683,
Pitkin County,2013,71012,
Chaffee County,2014,48840,
Arapahoe County,2014,65359,
Huerfano County,2014,32750,
Washington County,2014,45784,
Las Animas County,2014,39625,
Adams County,2014,59316,
Douglas County,2014,107250,
Routt County,2014,66846,
La Plata County,2014,60658,
Logan County,2014,45439,
Delta County,2014,45283,
Prowers County,2014,39184,
Broomfield County,2014,85885,
Lake County,2014,46765,
Dolores County,2014,44235,
Denver County,2014,54872,
Weld County,2014,61501,
Larimer County,2014,57659,
El Paso County,2014,59286,
Conejos County,2014,33998,
Jefferson County,2014,70687,
Phillips County,2014,47006,
Pueblo County,2014,41382,
Rio Grande County,2014,40593,
Sedgwick County,2014,44562,
Bent County,2014,35424,
Eagle County,2014,76661,
Alamosa County,2014,38140,
Mesa County,2014,50106,
Lincoln County,2014,41248,
Custer County,2014,48368,
Gilpin County,2014,64752,
Boulder County,2014,71546,
Rio Blanco County,2014,63184,
Moffat County,2014,56193,
Grand County,2014,59379,
Montezuma County,2014,44163,
Kiowa County,2014,42310,
Gunnison County,2014,48940,
Jackson County,2014,45073,
Costilla County,2014,27882,
San Miguel County,2014,59603,
Morgan County,2014,47631,
Mineral County,2014,51257,
Pitkin County,2014,73274,
Crowley County,2014,32570,
Hinsdale County,2014,51241,
Garfield County,2014,62529,
Otero County,2014,33043,
Kit Carson County,2014,46394,
Ouray County,2014,57242,
Baca County,2014,36294,
Archuleta County,2014,44508,
Clear Creek County,2014,69115,
Park County,2014,58487,
Saguache County,2014,31227,
Elbert County,2014,83603,
San Juan County,2014,40006,
Cheyenne County,2014,52273,
Yuma County,2014,46838,
Fremont County,2014,41385,
Montrose County,2014,46336,
Summit County,2014,68352,
Teller County,2014,62380,
Boulder County,2015,72392,
Archuleta County,2015,50361,
Yuma County,2015,48934,
Rio Grande County,2015,40259,
Ouray County,2015,60402,
Bent County,2015,36630,
Otero County,2015,34970,
Moffat County,2015,59173,
Gilpin County,2015,67389,
Custer County,2015,43995,
Rio Blanco County,2015,61426,
Hinsdale County,2015,58613,
Jefferson County,2015,71209,
Baca County,2015,35405,
Routt County,2015,70989,
Elbert County,2015,90270,
Crowley County,2015,35405,
Park County,2015,63319,
San Miguel County,2015,62793,
Washington County,2015,47592,
Saguache County,2015,34209,
Adams County,2015,62991,
Montrose County,2015,46860,
Broomfield County,2015,86548,
Las Animas County,2015,38858,
Lincoln County,2015,43188,
Fremont County,2015,41967,
Cheyenne County,2015,50620,
Arapahoe County,2015,67062,
Chaffee County,2015,50947,
Alamosa County,2015,40067,
Phillips County,2015,48562,
Kit Carson County,2015,44090,
Kiowa County,2015,42108,
Grand County,2015,59885,
Sedgwick County,2015,40325,
Garfield County,2015,64487,
La Plata County,2015,60732,
Delta County,2015,42586,
Pueblo County,2015,40540,
Teller County,2015,66191,
Mineral County,2015,50481,
Douglas County,2015,109926,
Morgan County,2015,49087,
Summit County,2015,69633,
Huerfano County,2015,33098,
Conejos County,2015,37102,
Jackson County,2015,46905,
Gunnison County,2015,47619,
Weld County,2015,69434,
Mesa County,2015,51449,
Denver County,2015,57886,
Prowers County,2015,41348,
Larimer County,2015,64935,
Costilla County,2015,27944,
Clear Creek County,2015,67262,
El Paso County,2015,60050,
Lake County,2015,45913,
Logan County,2015,46306,
Dolores County,2015,44829,
Pitkin County,2015,76663,
Eagle County,2015,75191,
San Juan County,2015,43489,
Montezuma County,2015,42975,
Pitkin County,2016,74576,
Moffat County,2016,54151,
Summit County,2016,70265,
Kit Carson County,2016,48272,
Cheyenne County,2016,50558,
Crowley County,2016,35873,
Rio Blanco County,2016,58980,
Weld County,2016,63609,
Montrose County,2016,43285,
Fremont County,2016,46372,
Lincoln County,2016,42969,
Hinsdale County,2016,51717,
Delta County,2016,41798,
Gilpin County,2016,65472,
Las Animas County,2016,38224,
Dolores County,2016,46791,
Costilla County,2016,27211,
Teller County,2016,63966,
Park County,2016,68535,
Conejos County,2016,34390,
Elbert County,2016,86693,
Montezuma County,2016,40679,
Otero County,2016,36773,
San Juan County,2016,44652,
Routt County,2016,71322,
Ouray County,2016,66813,
Baca County,2016,34070,
Sedgwick County,2016,42518,
El Paso County,2016,63610,
Grand County,2016,63875,
Garfield County,2016,69161,
Broomfield County,2016,86870,
Logan County,2016,49407,
Mineral County,2016,52641,
Douglas County,2016,112399,
Alamosa County,2016,37057,
Clear Creek County,2016,68699,
Denver County,2016,61038,
Adams County,2016,65442,
Saguache County,2016,33973,
Washington County,2016,46304,
Yuma County,2016,48963,
San Miguel County,2016,67251,
Huerfano County,2016,34626,
La Plata County,2016,58499,
Prowers County,2016,40164,
Jefferson County,2016,74342,
Archuleta County,2016,51998,
Kiowa County,2016,43951,
Mesa County,2016,49825,
Boulder County,2016,74772,
Bent County,2016,33951,
Larimer County,2016,66561,
Chaffee County,2016,49877,
Morgan County,2016,49129,
Custer County,2016,52021,
Jackson County,2016,46671,
Phillips County,2016,49046,
Arapahoe County,2016,70866,
Lake County,2016,49064,
Eagle County,2016,79556,
Pueblo County,2016,44644,
Gunnison County,2016,53753,
Rio Grande County,2016,41128,
