County,Year,Income,Population
Costilla County,1999,13057,3601
Garfield County,1999,29176,42611
Ouray County,1999,27500,3622
Lincoln County,1999,20595,6097
Cheyenne County,1999,24341,2255
Montrose County,2000,36303,33432
Phillips County,2000,34253,4480
Costilla County,2000,21135,3663
Sedgwick County,2000,29763,2747
Ouray County,2000,43707,3742
San Miguel County,2000,49270,6594
Saguache County,2000,24912,5917
Mineral County,2000,36124,831
Bent County,2000,28252,5998
Teller County,2000,52304,20555
San Juan County,2000,30564,558
Rio Grande County,2000,32646,12413
Custer County,2000,36205,3503
Arapahoe County,2000,55359,487967
Logan County,2000,34724,20504
Routt County,2000,53966,19690
Adams County,2000,48307,363857
Jefferson County,2000,60357,527056
Archuleta County,2000,38241,9898
El Paso County,2000,48991,516929
Washington County,2000,33193,4926
Mesa County,2000,37138,116255
Pueblo County,2000,33673,141472
Douglas County,2000,91210,175766
Dolores County,2000,32126,1844
Denver County,2000,41657,554636
Lincoln County,2000,33205,6087
Prowers County,2000,30905,14483
Garfield County,2000,48713,43791
Summit County,2000,57200,23548
Weld County,2000,42555,180936
Otero County,2000,29939,20311
Hinsdale County,2000,37815,790
Gunnison County,2000,37898,13956
Yuma County,2000,34613,9841
Larimer County,2000,49758,251494
Delta County,2000,33356,27834
Kiowa County,2000,32811,1622
Montezuma County,2000,33305,23830
Gilpin County,2000,53910,4757
Chaffee County,2000,35706,16242
Jackson County,2000,33178,1577
Baca County,2000,29274,4517
Pitkin County,2000,62190,14872
Eagle County,2000,61760,41659
La Plata County,2000,41490,43941
Grand County,2000,47958,12442
Alamosa County,2000,30538,14966
Huerfano County,2000,26176,7862
Las Animas County,2000,28730,15207
Crowley County,2000,26953,5518
Boulder County,2000,58601,291288
Lake County,2000,38487,7812
Moffat County,2000,43186,13184
Rio Blanco County,2000,40409,5986
Clear Creek County,2000,54838,9322
Elbert County,2000,66082,19872
Cheyenne County,2000,37620,2231
Conejos County,2000,25296,8400
Kit Carson County,2000,35066,8011
Fremont County,2000,34504,46145
Morgan County,2000,35648,27171
Park County,2000,54396,14523
Jackson County,2001,32074,1522
Boulder County,2001,57079,278981
Prowers County,2001,29985,14251
Kiowa County,2001,32346,1534
Huerfano County,2001,25130,7869
Grand County,2001,47956,12645
San Miguel County,2001,49527,6885
Pitkin County,2001,62605,14909
Archuleta County,2001,37327,10492
Fremont County,2001,33517,46747
Morgan County,2001,35009,27281
Washington County,2001,32923,4816
Park County,2001,53925,15346
San Juan County,2001,30770,567
Crowley County,2001,25497,5681
Delta County,2001,32258,28147
Ouray County,2001,43332,3808
Baca County,2001,28087,4468
Denver County,2001,40709,564411
Logan County,2001,34297,21271
Yuma County,2001,34542,9785
El Paso County,2001,48583,535549
Dolores County,2001,31685,1835
Pueblo County,2001,32663,144130
Montezuma County,2001,32717,23707
Lake County,2001,37286,7839
Moffat County,2001,42901,13145
Elbert County,2001,66230,21167
Rio Blanco County,2001,39785,5846
Summit County,2001,56707,24715
Phillips County,2001,34065,4470
Weld County,2001,42849,193060
Douglas County,2001,93316,197344
Chaffee County,2001,34930,16388
Otero County,2001,28869,20008
Gilpin County,2001,54319,4833
Arapahoe County,2001,55878,502810
La Plata County,2001,41194,45103
Clear Creek County,2001,55116,9400
Mesa County,2001,36315,119287
Routt County,2001,54270,20214
Cheyenne County,2001,37017,2173
Garfield County,2001,48431,45579
Eagle County,2001,62370,43381
Saguache County,2001,23809,6155
Custer County,2001,35953,3636
Jefferson County,2001,60297,529690
Broomfield County,2001,65302,41436
Las Animas County,2001,27960,15119
Bent County,2001,27470,5763
Lincoln County,2001,31848,5866
Larimer County,2001,49168,260746
Gunnison County,2001,37809,14194
Costilla County,2001,20403,3576
Montrose County,2001,35896,34342
Kit Carson County,2001,34257,7974
Alamosa County,2001,29987,14991
Teller County,2001,52510,21055
Sedgwick County,2001,28868,2650
Hinsdale County,2001,37088,815
Rio Grande County,2001,32344,12172
Adams County,2001,46996,360348
Mineral County,2001,35306,821
Conejos County,2001,24770,8320
Rio Blanco County,2002,41133,5909
Kit Carson County,2002,31728,8203
Park County,2002,53045,15919
Moffat County,2002,43718,13304
Baca County,2002,25364,4331
Gunnison County,2002,36989,14314
Montezuma County,2002,32443,23943
Hinsdale County,2002,36706,797
Arapahoe County,2002,55188,509598
Ouray County,2002,43747,3914
Washington County,2002,30079,4943
Archuleta County,2002,37345,10951
Rio Grande County,2002,32858,12157
Yuma County,2002,33722,9694
Prowers County,2002,29058,14170
Douglas County,2002,93927,210037
Larimer County,2002,49638,265659
Routt County,2002,53299,20446
El Paso County,2002,48626,544815
Saguache County,2002,23098,6442
Alamosa County,2002,30427,15168
Pueblo County,2002,33269,146735
Fremont County,2002,33548,47197
Garfield County,2002,48257,46793
Sedgwick County,2002,27884,2673
Clear Creek County,2002,55079,9492
Weld County,2002,43476,203570
Broomfield County,2002,65155,42522
Logan County,2002,34242,21229
Mineral County,2002,34694,857
Pitkin County,2002,60821,14909
Dolores County,2002,30108,1842
Denver County,2002,40082,561072
San Juan County,2002,30733,568
La Plata County,2002,41591,45979
Huerfano County,2002,25249,7921
Phillips County,2002,33225,4521
Crowley County,2002,23963,5792
Gilpin County,2002,53766,4859
San Miguel County,2002,47274,7156
Morgan County,2002,34542,27499
Grand County,2002,47871,12959
Elbert County,2002,66648,21779
Mesa County,2002,37053,122131
Delta County,2002,32894,28764
Summit County,2002,53362,24966
Adams County,2002,46876,371781
Chaffee County,2002,35366,16668
Otero County,2002,28528,19673
Cheyenne County,2002,32739,2100
Lincoln County,2002,30160,5857
Custer County,2002,35938,3667
Lake County,2002,35947,7819
Jackson County,2002,31369,1521
Jefferson County,2002,59903,529191
Bent County,2002,26485,5903
Montrose County,2002,36741,35108
Eagle County,2002,59682,44477
Conejos County,2002,24959,8299
Kiowa County,2002,28698,1485
Las Animas County,2002,29044,15443
Costilla County,2002,20731,3557
Boulder County,2002,55810,281941
Teller County,2002,52383,21276
Broomfield County,2003,64005,45098
Washington County,2003,31036,4890
Park County,2003,52265,16242
Dolores County,2003,31923,1802
Kiowa County,2003,30850,1452
Baca County,2003,26434,4106
Alamosa County,2003,30994,15125
Moffat County,2003,45071,13245
Weld County,2003,44756,210635
Douglas County,2003,93013,221978
Cheyenne County,2003,35873,1986
Hinsdale County,2003,35958,777
Gilpin County,2003,53044,4867
Teller County,2003,51532,21270
Clear Creek County,2003,57211,9335
Saguache County,2003,23764,6590
Rio Grande County,2003,33935,12192
Boulder County,2003,57112,282126
Yuma County,2003,34494,9827
Lincoln County,2003,31205,5786
La Plata County,2003,42846,46258
Summit County,2003,51610,25313
Chaffee County,2003,35719,16678
Montrose County,2003,38454,35674
Denver County,2003,41036,558351
Jefferson County,2003,58851,526426
Ouray County,2003,45521,3941
Fremont County,2003,33837,47108
Jackson County,2003,32071,1494
Garfield County,2003,48153,47388
Mineral County,2003,37018,894
Elbert County,2003,66647,21953
Custer County,2003,37830,3794
Grand County,2003,48348,13017
Conejos County,2003,26749,8220
Prowers County,2003,29411,13992
Adams County,2003,48633,378785
Costilla County,2003,21731,3522
Pitkin County,2003,59624,14923
Gunnison County,2003,37782,14254
Logan County,2003,34329,21286
Las Animas County,2003,30092,15720
Kit Carson County,2003,32891,8072
Larimer County,2003,50275,268671
Arapahoe County,2003,55907,514406
San Juan County,2003,32640,572
Phillips County,2003,33697,4449
Crowley County,2003,23469,5627
Rio Blanco County,2003,41730,5859
San Miguel County,2003,45521,7121
Huerfano County,2003,25751,7934
Eagle County,2003,58347,45312
Archuleta County,2003,38677,11167
Montezuma County,2003,33212,24239
Morgan County,2003,34892,27634
Bent County,2003,27369,6144
El Paso County,2003,49292,551129
Delta County,2003,33625,28988
Pueblo County,2003,35130,147931
Mesa County,2003,38129,124510
Routt County,2003,53252,20833
Lake County,2003,35040,7691
Otero County,2003,29317,19546
Sedgwick County,2003,27773,2620
Las Animas County,2004,31798,15588
Lake County,2004,36033,7697
Ouray County,2004,47424,4086
Pueblo County,2004,35693,148578
San Miguel County,2004,46891,7115
Alamosa County,2004,31587,15293
Pitkin County,2004,60662,14834
Kit Carson County,2004,33610,8098
Morgan County,2004,36507,27607
Delta County,2004,35280,29402
Jefferson County,2004,59060,522889
Costilla County,2004,22165,3497
Phillips County,2004,34316,4522
Arapahoe County,2004,55615,519785
Yuma County,2004,35687,9671
Summit County,2004,52220,25177
Baca County,2004,26580,4050
Routt County,2004,54539,21077
Huerfano County,2004,26649,7714
Custer County,2004,40332,3821
Mesa County,2004,40045,127095
Boulder County,2004,57908,284815
Saguache County,2004,23638,6798
Lincoln County,2004,31574,5612
